id	order	HN-EW	HN-CW	HN-X20KW
BGEM-0229-N	180	61.7260479	44.10276999	5.930648815
BGEM-0230-N	181	47.39891718	42.60049758	4.64868329
BGEM-0231-N	182	52.16063664	44.56995939	4.745453751
BGEM-0233-S	183	68.93383978	44.24739716	4.88712837
BGEM-0235-N	184	62.29658231	43.96725919	5.040911608
BGEM-0236-S	185	61.88989817	43.11149543	5.483377851
BGEM-0237-N	186	55.21554279	42.97593535	4.714686818
BGEM-0239-N	187	72.09404575	46.46690392	5.183400294
BGEM-0240-N	188	51.7757142	43.18033925	4.82374762
BGEM-0242-N	189	59.00721989	42.57559153	5.346107737
BGEM-0243-S	190	75.54755737	46.98627778	4.823326014
BGEM-0244-S	191	84.91776263	48.60191892	5.180308851
BGEM-0246-N	192	62.65911482	45.55163045	4.537289094
BGEM-0247-N	193	NA	NA	NA
BGEM-0248-N	194	62.58936013	42.39713289	5.373227376
BGEM-0250-S	195	52.57325135	43.63697379	5.960872849
BGEM-0252-S	196	66.44878714	45.11961489	4.400339623
BGEM-0253-N	197	47.67514412	43.12551972	4.166053335
BGEM-0254-S	198	68.13596171	44.46555434	4.687571008
BGEM-0255-S	199	54.79823	44.08303155	4.611676677
BGEM-0256-N	200	48.98955298	43.30063735	4.064714805
BGEM-0257-S	201	57.38644268	42.48267487	4.990210983
BGEM-0258-S	202	50.53694281	43.46724265	5.246748358
BGEM-0259-N	203	65.45501495	46.86138919	4.924300039
BGEM-0260-N	204	48.620795	40.59331863	4.789723125
BGEM-0261-S	205	56.21773164	42.63266488	5.290321656
BGEM-0262-S	206	64.23137403	43.5183077	4.96695843
BGEM-0263-S	207	55.00999905	43.18210202	5.071240656
BGEM-0264-S	208	52.84265346	43.11144752	5.282550095
BGEM-0266-S	209	56.26956071	44.50390978	5.204201093
BGEM-0268-S	210	51.75324074	44.18709197	4.773087899
BGEM-0269-S	211	NA	NA	NA
BGEM-0270-S	212	60.41538031	43.94102983	5.026610901
BGEM-0272-S	213	74.76213368	44.3489653	4.814267943
BGEM-0276-S	214	60.15755431	44.76416781	5.480093772
BGEM-0277-S	215	55.14241094	44.10718381	5.078041269
BGEM-0278-S	216	63.39510838	43.78734985	4.660066121
BGEM-0279-S	217	77.03073757	44.28330858	4.996784665
BGEM-0280-S	218	51.30124924	43.72355737	4.806811384
BGEM-0281-N	219	57.2750778	43.34953431	4.176563188
BGEM-0282-N	220	62.69970397	43.33826928	5.316049476
BGEM-0283-N	221	55.64339594	43.58080979	4.381787528
BGEM-0284-N	222	48.3418737	42.82701926	4.066906893
BGEM-0285-N	223	72.0682842	45.12717551	4.653782957
BGEM-0286-N	224	57.57663548	44.04648658	4.876112502
BGEM-0287-N	225	47.52740154	43.31483324	4.355520601
