id	X20KW	CL	CW	CD
CI90CGoodman-Buckler	3.73216213590774	11.1927888384931	12.5256629200754	21.4364450880904
CM105	4.92559503690268	12.61609046673	19.2372944846096	25.0689112803903
CM174	3.83602818900115	12.370500295105	18.4074089637278	24.5150394751742
CM37	4.49759926188174	10.4195477854852	10.3359429816843	22.2318305960008
CM7	4.44730310602044	10.4153424045411	11.5443683896256	21.7121473339203
CML10	4.66080705121923	12.693189160429	12.4200313969335	21.301231933277
CML103	4.69453203582202	13.3198225269364	14.6019599750359	22.5850405420565
CML108	4.6947876872898	12.0404545400086	15.2633079388188	26.4038492268113
CML14	NA	NA	NA	NA
CML154Q	4.58221240455781	13.4904688053312	19.2214869735621	26.5011503305652
CML158Q	4.07660035571415	11.5049275145668	13.9375831407136	24.5860054257123
CML218	4.46825253057654	11.173299187289	12.2987188775183	21.6316601105828
CML220	5.26174381215047	10.9221006130204	12.7594571666148	25.986072931182
CML228	NA	NA	NA	NA
CML238	NA	NA	NA	NA
CML254	NA	10.4307331431839	10.1329392414845	19.5729634977897
CML258	NA	NA	NA	NA
CML261	NA	10.111327587996	10.7394609180676	20.050892479087
CML277	4.81253765520897	11.8312088932268	11.7581563835474	21.9165251898132
CML287	3.39274444582712	11.3865954798116	11.4992019429901	20.7014143256227
CML311	NA	NA	NA	NA
CML314	4.72773064428199	10.7335206394925	12.5283974843801	23.4909593582607
CML321	NA	12.1475380023188	NA	NA
CML322	3.98322376325676	11.8875198260307	13.0163974741892	21.7296359590863
CML323	4.1239635527106	11.7985580564156	10.6829682669482	22.5732422531002
CML332	NA	NA	NA	NA
CML333	4.65251675520639	9.16443909052706	11.522834945568	21.7747423141421
CML341	NA	NA	NA	NA
